frame_seq,frame_number,total_packets,received_packets,lost_packets,loss_rate,timestamp_us,target_bitrate_kbps
406,407,10,10,0,0.0000,1052929218406,5000
407,408,12,12,0,0.0000,1052929251759,5000
408,409,10,10,0,0.0000,1052929285486,5000
409,410,9,9,0,0.0000,1052929321259,5000
410,411,11,11,0,0.0000,1052929351219,5000
411,412,8,8,0,0.0000,1052929385240,5000
412,413,11,11,0,0.0000,1052929421200,5000
413,414,10,10,0,0.0000,1052929451259,5000
414,415,11,11,0,0.0000,1052929485316,5000
415,416,9,9,0,0.0000,1052929518416,5000
416,417,10,10,0,0.0000,1052929551401,5000
417,418,11,11,0,0.0000,1052929585572,5000
418,419,8,8,0,0.0000,1052929618085,5000
419,420,10,10,0,0.0000,1052929652343,5000
420,421,10,10,0,0.0000,1052929687748,5000
421,422,11,11,0,0.0000,1052929721770,5000
422,423,9,9,0,0.0000,1052929754419,5000
423,424,9,9,0,0.0000,1052929786894,5000
424,425,9,9,0,0.0000,1052929818133,5000
425,426,11,11,0,0.0000,1052929851557,5000
426,427,11,11,0,0.0000,1052929889875,5000
427,428,9,9,0,0.0000,1052929921249,5000
428,429,9,9,0,0.0000,1052929955953,5000
429,430,10,10,0,0.0000,1052929985326,5000
430,431,12,12,0,0.0000,1052930018342,5000
431,432,9,9,0,0.0000,1052930053202,5000
432,433,10,10,0,0.0000,1052930085524,5000
433,434,9,9,0,0.0000,1052930119320,5000
434,435,12,12,0,0.0000,1052930153815,5000
435,436,8,8,0,0.0000,1052930189192,5000
436,437,11,11,0,0.0000,1052930218298,5000
437,438,10,10,0,0.0000,1052930251229,5000
438,439,11,11,0,0.0000,1052930285325,5000
439,440,8,8,0,0.0000,1052930318319,5000
440,441,11,11,0,0.0000,1052930350669,5000
